2017-04-24 18:50:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 18:55:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 19:00:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 19:05:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 19:10:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 19:15:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 19:20:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 19:25:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 19:30:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 19:35:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 19:40:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 19:45:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 19:50:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 19:55:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 20:00:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 20:05:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 20:10:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 20:15:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 20:20:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 20:25:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 20:30:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 20:35:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 20:40:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 20:45:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 20:50:00,GBNK,27.0,27.0,27.0,27.0,0.0
2017-04-24 20:55:00,GBNK,27.0,27.0,27.0,27.0,0.0
